Real_Hs,Predicted_Hs
1.8999997,1.5470512
1.3666667,1.7203059
1.3333334,1.7077504
1.3,1.6506662
1.3333334,1.5777525
1.3666667,1.506201
1.4,1.4204801
1.4666667,1.3549834
1.5333333,1.3020744
1.6,1.2628316
1.5,1.2562517
1.4,1.2218373
1.3,1.1830078
1.2,1.136344
1.1,1.0893714
1.0,1.0034282
0.9666666,0.94436157
0.9333333,0.88142943
0.9,0.8257628
0.9,0.78552544
0.9,0.7647261
0.9,0.7136528
0.9,0.7259132
0.9,0.7002391
0.9,0.68090504
0.8666667,0.6745041
0.8333333,0.69591826
0.8,0.7174321
0.76666665,0.735622
0.73333335,0.71198297
0.7,0.6527352
0.6666667,0.60352844
0.6333333,0.5730143
0.6,0.59030443
0.56666666,0.61630374
0.53333336,0.6214099
0.5,0.62435144
0.46666664,0.6251657
0.43333334,0.63442504
0.4,0.613221
0.4,0.59008646
0.4,0.57740635
0.4,0.5650547
0.4,0.56343704
0.4,0.5728388
0.4,0.5623632
0.43333334,0.5422216
0.46666664,0.51415056
0.5,0.48287502
0.43333334,0.4497323
0.36666667,0.4583874
0.3,0.48255786
0.33333334,0.50830424
0.36666667,0.5377474
0.4,0.57215524
0.43333334,0.62269235
0.46666664,0.6914048
0.5,0.7381653
0.56666666,0.7769324
0.6333333,0.7787237
0.7,0.7497814
0.6666667,0.7627641
0.6333333,0.785594
0.6,0.8327105
0.6333333,0.89800775
0.6666667,0.9331358
0.7,0.94436026
0.7,0.93448925
0.7,0.9033091
0.7,0.8750171
0.73333335,0.87584895
0.76666665,0.86746234
0.8,0.8526649
0.76666665,0.8397546
0.73333335,0.835047
0.7,0.898977
0.76666665,0.96781546
0.8333333,1.0302732
0.9,1.0911984
0.9666666,1.1624305
1.0333333,1.2508377
1.1,1.3061852
1.2,1.3618989
1.3,1.3837186
1.4,1.3969305
1.4666667,1.4241242
1.5333333,1.4343868
1.6,1.4448156
1.5666667,1.4972489
1.5333333,1.5301262
1.5,1.5553855
1.5333333,1.5982727
1.5666667,1.6280333
1.6,1.6096597
1.6333333,1.5997143
1.6666666,1.5401716
1.6999999,1.430858
1.6999999,1.3109543
1.6999999,1.2579026
1.6999999,1.3433843
1.6666666,1.3890926
1.6333333,1.3100897
1.6,1.2592779
1.5666667,1.2400638
1.5333333,1.2537166
1.5,1.2457017
1.4,1.248289
1.3,1.1826098
1.2,1.058668
1.1333333,0.97699136
1.0666667,0.9366547
1.0,0.89810705
0.9666666,0.8551275
0.9333333,0.83749276
0.9,0.8413275
0.9,0.86186355
0.9,0.87554234
0.9,0.83788586
0.8666667,0.7785299
0.8333333,0.6886602
0.8,0.5938182
0.76666665,0.53532076
0.73333335,0.52819896
0.7,0.53805566
0.6666667,0.5251634
0.6333333,0.48721805
0.6,0.4629666
0.6333333,0.44630224
0.6666667,0.43800542
0.7,0.45250523
0.6666667,0.4538552
0.6333333,0.45186776
0.6,0.4640356
0.56666666,0.47648865
0.53333336,0.48612455
0.5,0.49587443
0.5,0.51361537
0.5,0.51114744
0.5,0.476108
0.46666664,0.43094298
0.43333334,0.3915427
0.4,0.38095444
0.36666667,0.40236104
0.33333334,0.38167894
0.3,0.36912704
0.3,0.35567418
0.3,0.3589488
0.3,0.36811465
0.3,0.36161974
0.3,0.33981565
0.3,0.30153206
0.33333334,0.26270643
0.36666667,0.2637251
0.4,0.29897624
0.36666667,0.36321318
0.33333334,0.39867848
0.3,0.43862432
0.3,0.45343557
0.3,0.49212575
0.3,0.54536307
0.3,0.6066749
0.3,0.643332
0.3,0.667709
0.4,0.70310956
0.5,0.74120194
0.6,0.7722915
0.76666665,0.8624665
0.9333333,0.9736821
1.1,1.0485241
1.1666666,1.0812775
1.2333333,1.0780802
1.3,1.0696802
1.3333334,1.0725746
1.3666667,1.0682952
1.4,1.0620478
1.3,1.0361515
1.2,1.0025676
1.1,1.0038456
1.0666667,1.0275662
1.0333333,1.0353838
1.0,1.045245
1.0333333,1.0741707
1.0666667,1.082548
1.1,1.0921031
1.1333333,1.0677224
1.1666666,1.01447
1.2,0.9391986
1.1333333,0.87458897
1.0666667,0.82286185
1.0,0.8260348
0.9666666,0.8600356
0.9333333,0.9173311
0.9,0.93279755
0.9,0.92557603
0.9,0.91139746
0.9,0.852654
0.8333333,0.7855295
0.76666665,0.699938
0.7,0.6036982
0.6666667,0.51019555
0.6333333,0.4323759
0.6,0.38243404
0.53333336,0.34608197
0.46666664,0.32644367
0.4,0.31991324
0.4,0.32431886
0.4,0.36601064
0.4,0.4019949
0.36666667,0.4403588
0.33333334,0.4547796
0.3,0.43214253
0.3,0.36757132
0.3,0.27621567
0.3,0.1863942
0.26666668,0.15364273
0.23333332,0.1648012
0.2,0.16184078
0.2,0.17834969
0.2,0.21789563
0.2,0.2599246
0.23333332,0.30812362
0.26666668,0.39946526
0.3,0.50532687
0.26666668,0.5580127
0.23333332,0.55262876
0.2,0.53735834
0.2,0.5063352
0.2,0.5029586
0.2,0.5353578
0.2,0.6095598
0.2,0.72400606
0.2,0.7384347
0.23333332,0.69583917
0.26666668,0.62595755
0.3,0.532739
0.36666667,0.4651907
0.43333334,0.42081344
0.5,0.38589406
0.5,0.3863311
0.5,0.4230496
0.5,0.48043543
0.53333336,0.54091144
0.56666666,0.6140159
0.6,0.63074535
0.56666666,0.6172469
0.53333336,0.5873121
0.5,0.541564
0.53333336,0.50009453
0.56666666,0.45214018
0.6,0.40948585
0.56666666,0.37988016
0.53333336,0.3659722
0.5,0.35987806
0.46666664,0.36641815
0.43333334,0.39300877
0.4,0.3996444
0.4,0.39748392
0.4,0.380035
0.4,0.34759855
0.46666664,0.32345486
0.53333336,0.31599635
0.6,0.328908
0.6333333,0.34225056
0.6666667,0.3670221
0.7,0.376324
0.7,0.37331727
0.7,0.3596785
0.7,0.3258832
0.6,0.29678422
0.5,0.25633022
0.4,0.2249014
0.4,0.19679622
0.4,0.18060276
0.4,0.22073536
0.43333334,0.2616652
0.46666664,0.3102812
0.5,0.33868107
0.43333334,0.3358338
0.36666667,0.30815628
0.3,0.310192
0.3,0.3040779
0.3,0.27884898
0.3,0.23460695
0.26666668,0.20482273
0.23333332,0.1811014
0.2,0.17073876
0.2,0.16179995
0.2,0.15286054
0.2,0.12867016
0.2,0.12194637
0.2,0.12199088
0.2,0.1491466
